order_id,data,produto,categoria,quantidade,preco_unitario,custo_unitario,receita_bruta,desconto_valor,total_venda,lucro
V000737,2024-01-01,Óleo de Milho 900ml,Alimentos Básicos,5,115.69,84.17,578.45,57.85,520.6,99.75
V000533,2024-01-01,Refrigerante Guaraná 2L,Bebidas,2,119.5,93.43,239.0,23.9,215.1,28.24
V000577,2024-01-02,Ração para Cães 10kg,Pets,4,102.33,76.28,409.32,0.0,409.32,104.2
V000626,2024-01-02,Café em Cápsulas,Bebidas,4,54.27,37.12,217.08,0.0,217.08,68.6
V000620,2024-01-02,Desinfetante 1L,Limpeza,4,102.54,77.33,410.16,41.02,369.14,59.82
V000636,2024-01-04,Refrigerante Guaraná 2L,Bebidas,1,37.46,27.44,37.46,3.75,33.71,6.27
V000062,2024-01-04,Salsicha Hot Dog,Alimentos Básicos,2,77.54,50.59,155.08,15.51,139.57,38.39
V000694,2024-01-05,Suco Integral Laranja 1L,Bebidas,3,27.5,20.75,82.5,8.25,74.25,12.0
V000385,2024-01-10,Queijo Prato (kg),Laticínios,5,73.53,57.77,367.65,18.38,349.27,60.42
V000185,2024-01-10,"Água com Gás 1,5L",Bebidas,3,82.28,51.97,246.84,12.34,234.5,78.59
V000054,2024-01-10,"Água Mineral 1,5L",Bebidas,5,119.82,95.76,599.1,0.0,599.1,120.3
V000671,2024-01-10,Cerveja Lata 350ml,Bebidas,2,78.74,56.71,157.48,0.0,157.48,44.06
V000023,2024-01-12,Carvão Vegetal 5kg,Outros,6,16.4,12.74,98.4,4.92,93.48,17.04
V000469,2024-01-13,Queijo Mussarela (kg),Laticínios,4,48.37,29.84,193.48,19.35,174.13,54.77
V000456,2024-01-17,Pão de Forma Tradicional,Padaria,5,19.87,15.18,99.35,4.97,94.38,18.48
V000217,2024-01-17,Sal Grosso 1kg,Alimentos Básicos,3,9.13,6.83,27.39,2.74,24.65,4.16
V000552,2024-01-18,Sabonete Barra,Higiene,1,4.61,2.96,4.61,0.0,4.61,1.65
V000788,2024-01-18,Picanha (kg),Carnes,6,16.84,10.12,101.04,10.1,90.94,30.22
V000365,2024-01-20,Suco Integral Uva 1L,Bebidas,3,52.0,35.49,156.0,0.0,156.0,49.53
V000291,2024-01-20,Chocolate Barra 90g,Outros,2,100.69,71.47,201.38,20.14,181.24,38.3
V000703,2024-01-20,Pão Francês (kg),Padaria,2,88.08,55.16,176.16,17.62,158.54,48.22
V000249,2024-01-20,"Água Mineral 1,5L",Bebidas,1,103.87,74.28,103.87,10.39,93.48,19.2
V000602,2024-01-20,Alcatra (kg),Carnes,6,45.02,31.91,270.12,13.51,256.61,65.15
V000099,2024-01-21,Desinfetante 1L,Limpeza,4,58.81,46.37,235.24,11.76,223.48,38.0
V000658,2024-01-21,Frango Inteiro (kg),Carnes,3,39.38,30.27,118.14,11.81,106.33,15.52
V000704,2024-01-23,Sabonete Barra,Higiene,5,22.77,15.33,113.85,11.38,102.47,25.82
V000547,2024-01-28,Ração para Cães 10kg,Pets,3,27.04,19.51,81.12,0.0,81.12,22.59
V000563,2024-01-31,Salsicha Hot Dog,Alimentos Básicos,4,34.82,21.34,139.28,13.93,125.35,39.99
V000003,2024-02-02,Açúcar Refinado 1kg,Alimentos Básicos,1,28.58,20.04,28.58,0.0,28.58,8.54
V000621,2024-02-03,Biscoito Recheado Chocolate,Outros,5,40.23,30.65,201.15,20.12,181.03,27.78
V000315,2024-02-05,Macarrão Espaguete 500g,Outros,1,30.61,22.32,30.61,1.53,29.08,6.76
V000682,2024-02-06,Álcool 70% 1L,Limpeza,6,119.39,91.12,716.34,35.82,680.52,133.8
V000157,2024-02-07,"Água Mineral 1,5L",Bebidas,1,39.8,26.45,39.8,1.99,37.81,11.36
V000705,2024-02-08,Alcatra (kg),Carnes,6,32.93,23.28,197.58,0.0,197.58,57.9
V000070,2024-02-09,Cerveja Lata 350ml,Bebidas,2,26.35,20.65,52.7,2.64,50.06,8.76
V000304,2024-02-12,Peito de Peru (kg),Outros,3,63.3,50.5,189.9,18.99,170.91,19.41
V000263,2024-02-12,Suco Integral Laranja 1L,Bebidas,5,79.26,52.65,396.3,19.82,376.48,113.23
V000795,2024-02-12,Arroz Tipo 1 5kg,Alimentos Básicos,5,72.81,51.51,364.05,0.0,364.05,106.5
V000453,2024-02-13,Pão Francês (kg),Padaria,2,108.45,80.09,216.9,21.69,195.21,35.03
V000171,2024-02-14,Peito de Peru (kg),Outros,6,58.34,45.66,350.04,17.5,332.54,58.58
V000279,2024-02-14,Margarina Light 500g,Laticínios,3,82.13,53.18,246.39,12.32,234.07,74.53
V000567,2024-02-15,Feijão Carioca 1kg,Alimentos Básicos,2,8.38,5.64,16.76,0.0,16.76,5.48
V000719,2024-02-16,Feijão Carioca 1kg,Alimentos Básicos,2,80.61,51.11,161.22,8.06,153.16,50.94
V000351,2024-02-16,Ovos Caipira Dúzia,Outros,1,69.72,44.55,69.72,6.97,62.75,18.2
V000306,2024-02-18,Fralda Infantil G,Outros,3,34.97,26.57,104.91,5.25,99.66,19.95
V000441,2024-02-19,Arroz Tipo 1 5kg,Alimentos Básicos,4,19.09,13.86,76.36,0.0,76.36,20.92
V000748,2024-02-19,Papel Higiênico 12un,Outros,4,101.14,70.45,404.56,40.46,364.1,82.3
V000190,2024-02-20,Shampoo 400ml,Higiene,6,61.12,47.72,366.72,18.34,348.38,62.06
V000212,2024-02-21,Salsicha Hot Dog,Alimentos Básicos,2,118.69,89.9,237.38,0.0,237.38,57.58
V000090,2024-02-21,Papel Toalha 2un,Outros,2,110.34,68.88,220.68,0.0,220.68,82.92
V000160,2024-02-22,Pão de Forma Tradicional,Padaria,3,67.26,52.84,201.78,10.09,191.69,33.17
V000138,2024-02-24,Extrato de Tomate 140g,Outros,2,97.9,77.32,195.8,0.0,195.8,41.16
V000689,2024-02-24,Fralda Infantil P,Outros,5,70.9,51.34,354.5,17.73,336.77,80.07
V000739,2024-02-25,Pão de Hambúrguer,Padaria,4,41.84,31.53,167.36,16.74,150.62,24.5
V000786,2024-02-25,Sal Grosso 1kg,Alimentos Básicos,3,68.3,48.83,204.9,0.0,204.9,58.41
V000245,2024-02-26,Arroz Tipo 1 5kg,Alimentos Básicos,2,38.27,24.58,76.54,0.0,76.54,27.38
V000607,2024-02-27,Pão de Hambúrguer,Padaria,5,102.04,77.5,510.2,25.51,484.69,97.19
V000451,2024-02-27,Fralda Infantil P,Outros,1,85.23,52.55,85.23,4.26,80.97,28.42
V000662,2024-02-27,Sabão em Pó 1kg,Limpeza,2,10.68,7.92,21.36,1.07,20.29,4.45
V000605,2024-02-29,Cerveja Lata 350ml,Bebidas,5,44.82,32.13,224.1,0.0,224.1,63.45
V000664,2024-02-29,Achocolatado em Pó 400g,Outros,1,56.4,44.2,56.4,5.64,50.76,6.56
V000558,2024-02-29,Achocolatado em Pó 400g,Outros,1,111.18,69.29,111.18,11.12,100.06,30.77
V000425,2024-02-29,Papel Toalha 2un,Outros,4,116.23,82.69,464.92,0.0,464.92,134.16
V000614,2024-03-01,Feijão Preto 1kg,Alimentos Básicos,2,71.63,56.12,143.26,0.0,143.26,31.02
V000044,2024-03-01,Sal Refinado 1kg,Alimentos Básicos,4,3.25,2.2,13.0,0.65,12.35,3.55
V000230,2024-03-02,Sabonete Barra,Higiene,5,68.72,50.44,343.6,17.18,326.42,74.22
V000210,2024-03-03,Ovos Brancos Dúzia,Outros,3,25.21,15.74,75.63,3.78,71.85,24.63
V000761,2024-03-04,Gelo 5kg,Outros,3,26.87,19.03,80.61,4.03,76.58,19.49
V000394,2024-03-04,Ração para Gatos 3kg,Pets,1,57.45,36.31,57.45,5.75,51.7,15.39
V000367,2024-03-04,Macarrão Penne 500g,Outros,5,27.26,18.13,136.3,13.63,122.67,32.02
V000582,2024-03-04,Refrigerante Laranja 2L,Bebidas,6,115.81,74.97,694.86,34.74,660.12,210.3
V000294,2024-03-05,Farinha de Trigo 1kg,Alimentos Básicos,4,72.82,43.93,291.28,29.13,262.15,86.43
V000303,2024-03-05,"Água Mineral 1,5L",Bebidas,1,37.33,22.73,37.33,0.0,37.33,14.6
V000097,2024-03-06,Refrigerante Cola 2L,Bebidas,4,41.71,28.91,166.84,0.0,166.84,51.2
V000700,2024-03-07,Café Torrado 500g,Bebidas,3,113.97,78.77,341.91,34.19,307.72,71.41
V000650,2024-03-09,Óleo de Milho 900ml,Alimentos Básicos,4,68.09,48.37,272.36,13.62,258.74,65.26
V000213,2024-03-11,Papel Higiênico 12un,Outros,2,71.61,54.61,143.22,0.0,143.22,34.0
V000036,2024-03-13,Sabão em Pó 1kg,Limpeza,2,35.58,24.8,71.16,7.12,64.04,14.44
V000222,2024-03-16,Óleo de Soja 900ml,Alimentos Básicos,3,74.17,45.48,222.51,11.13,211.38,74.94
V000716,2024-03-17,Margarina 500g,Laticínios,3,78.39,54.19,235.17,11.76,223.41,60.84
V000313,2024-03-17,Ração para Gatos 3kg,Pets,6,50.53,35.5,303.18,30.32,272.86,59.86
V000526,2024-03-18,Fralda Infantil P,Outros,1,50.13,37.6,50.13,5.01,45.12,7.52
V000457,2024-03-19,Queijo Prato (kg),Laticínios,2,68.98,49.21,137.96,6.9,131.06,32.64
V000254,2024-03-19,Sabão em Pó 1kg,Limpeza,6,16.34,11.47,98.04,4.9,93.14,24.32
V000623,2024-03-20,Cereal Matinal 300g,Outros,3,117.94,74.72,353.82,0.0,353.82,129.66
V000009,2024-03-21,Papel Higiênico 12un,Outros,3,100.04,72.4,300.12,15.01,285.11,67.91
V000309,2024-03-21,Refrigerante Laranja 2L,Bebidas,5,119.43,75.97,597.15,29.86,567.29,187.44
V000459,2024-03-21,Detergente Líquido 500ml,Limpeza,6,117.0,71.46,702.0,35.1,666.9,238.14
V000183,2024-03-21,Condicionador 400ml,Higiene,4,75.51,48.94,302.04,30.2,271.84,76.08
V000333,2024-03-21,Chocolate Barra 90g,Outros,2,77.3,54.9,154.6,0.0,154.6,44.8
V000375,2024-03-21,Peito de Frango (kg),Carnes,4,79.75,59.77,319.0,0.0,319.0,79.92
V000011,2024-03-22,Pão Francês (kg),Padaria,1,47.47,32.79,47.47,2.37,45.1,12.31
V000107,2024-03-24,Cerveja Lata 350ml,Bebidas,1,90.64,55.33,90.64,4.53,86.11,30.78
V000638,2024-03-24,Cerveja Lata 350ml,Bebidas,1,39.08,26.55,39.08,1.95,37.13,10.58
V000399,2024-03-24,Amaciante 2L,Limpeza,4,64.8,43.57,259.2,25.92,233.28,59.0
V000265,2024-03-27,Detergente Líquido 500ml,Limpeza,6,23.19,15.06,139.14,6.96,132.18,41.82
V000272,2024-03-27,Presunto Cozido (kg),Outros,5,47.07,35.69,235.35,0.0,235.35,56.9
V000029,2024-03-28,Vinho Tinto Seco,Bebidas,1,117.42,82.96,117.42,0.0,117.42,34.46
V000791,2024-03-29,Iogurte Grego,Laticínios,4,47.63,36.41,190.52,0.0,190.52,44.88
V000327,2024-03-29,Leite Desnatado 1L,Laticínios,3,49.58,36.86,148.74,7.44,141.3,30.72
V000735,2024-03-31,Vinho Branco Seco,Bebidas,4,39.98,31.83,159.92,15.99,143.93,16.61
V000262,2024-04-02,Condicionador 400ml,Higiene,5,62.33,43.17,311.65,31.16,280.49,64.64
V000211,2024-04-03,Ração para Cães 10kg,Pets,2,78.08,56.17,156.16,0.0,156.16,43.82
V000589,2024-04-03,Achocolatado em Pó 400g,Outros,3,49.36,30.1,148.08,7.4,140.68,50.38
V000151,2024-04-03,Pão Francês (kg),Padaria,6,100.81,72.08,604.86,0.0,604.86,172.38
V000775,2024-04-04,Peito de Frango (kg),Carnes,2,106.36,77.93,212.72,10.64,202.08,46.22
V000043,2024-04-05,Cereal Matinal 300g,Outros,2,50.55,35.2,101.1,5.05,96.05,25.65
V000528,2024-04-05,"Água Mineral 1,5L",Bebidas,6,80.7,54.2,484.2,0.0,484.2,159.0
V000142,2024-04-11,Pão de Forma Tradicional,Padaria,6,27.69,20.27,166.14,0.0,166.14,44.52
V000209,2024-04-11,Carvão Vegetal 5kg,Outros,3,66.7,53.06,200.1,10.01,190.09,30.91
V000207,2024-04-11,Vinho Tinto Seco,Bebidas,5,50.75,40.11,253.75,0.0,253.75,53.2
V000174,2024-04-12,Amaciante 2L,Limpeza,4,4.8,3.02,19.2,1.92,17.28,5.2
V000653,2024-04-12,Manteiga 200g,Laticínios,5,94.21,71.33,471.05,47.11,423.94,67.29
V000544,2024-04-12,Macarrão Penne 500g,Outros,1,71.98,48.72,71.98,3.6,68.38,19.66
V000180,2024-04-12,Suco Integral Uva 1L,Bebidas,2,84.2,65.73,168.4,0.0,168.4,36.94
V000276,2024-04-13,Detergente Líquido 500ml,Limpeza,5,100.71,78.23,503.55,0.0,503.55,112.4
V000007,2024-04-14,Óleo de Milho 900ml,Alimentos Básicos,4,14.32,11.02,57.28,5.73,51.55,7.47
V000002,2024-04-14,Areia Sanitária Gatos,Pets,6,107.39,66.3,644.34,32.22,612.12,214.32
V000540,2024-04-14,Manteiga 200g,Laticínios,3,46.0,30.35,138.0,6.9,131.1,40.05
V000343,2024-04-18,Peito de Peru (kg),Outros,2,57.58,37.63,115.16,0.0,115.16,39.9
V000489,2024-04-18,Feijão Carioca 1kg,Alimentos Básicos,1,33.27,23.36,33.27,3.33,29.94,6.58
V000059,2024-04-19,Papel Higiênico 12un,Outros,2,34.86,25.13,69.72,6.97,62.75,12.49
V000377,2024-04-21,Condicionador 400ml,Higiene,6,71.66,46.47,429.96,43.0,386.96,108.14
V000585,2024-04-21,Extrato de Tomate 140g,Outros,1,22.23,15.41,22.23,1.11,21.12,5.71
V000219,2024-04-21,Suco Integral Laranja 1L,Bebidas,5,28.92,20.91,144.6,14.46,130.14,25.59
V000715,2024-04-23,Desinfetante 1L,Limpeza,6,60.81,48.03,364.86,36.49,328.37,40.19
V000400,2024-04-24,Leite Integral 1L,Laticínios,5,108.64,69.58,543.2,54.32,488.88,140.98
V000414,2024-04-25,Açúcar Cristal 5kg,Alimentos Básicos,6,52.05,39.2,312.3,0.0,312.3,77.1
V000137,2024-04-26,Leite Desnatado 1L,Laticínios,4,60.53,43.3,242.12,24.21,217.91,44.71
V000504,2024-04-26,Peito de Frango (kg),Carnes,3,101.93,73.74,305.79,30.58,275.21,53.99
V000243,2024-04-26,Peito de Frango (kg),Carnes,4,15.97,11.75,63.88,6.39,57.49,10.49
V000218,2024-04-26,Leite Desnatado 1L,Laticínios,4,55.45,37.29,221.8,22.18,199.62,50.46
V000225,2024-04-27,Fralda Infantil G,Outros,6,105.69,75.07,634.14,0.0,634.14,183.72
V000506,2024-04-30,Cereal Matinal 300g,Outros,3,16.68,11.25,50.04,0.0,50.04,16.29
V000560,2024-05-02,Feijão Carioca 1kg,Alimentos Básicos,6,19.05,11.47,114.3,5.71,108.59,39.77
V000050,2024-05-02,Guardanapo 50un,Outros,2,70.73,43.0,141.46,0.0,141.46,55.46
V000586,2024-05-03,Esponja de Aço,Outros,3,115.86,74.33,347.58,17.38,330.2,107.21
V000592,2024-05-04,Feijão Carioca 1kg,Alimentos Básicos,1,100.15,79.77,100.15,0.0,100.15,20.38
V000293,2024-05-04,Café em Cápsulas,Bebidas,2,52.12,39.55,104.24,5.21,99.03,19.93
V000596,2024-05-05,Café Torrado 500g,Bebidas,4,8.92,7.0,35.68,1.78,33.9,5.9
V000666,2024-05-06,Carvão Vegetal 5kg,Outros,1,31.31,21.85,31.31,1.57,29.74,7.89
V000173,2024-05-09,Detergente Líquido 500ml,Limpeza,5,41.84,25.94,209.2,10.46,198.74,69.04
V000103,2024-05-10,Creme Dental 90g,Higiene,5,6.16,4.18,30.8,3.08,27.72,6.82
V000411,2024-05-10,Pão de Hambúrguer,Padaria,1,91.47,72.78,91.47,4.57,86.9,14.12
V000030,2024-05-11,Ração para Cães 10kg,Pets,4,113.78,72.03,455.12,45.51,409.61,121.49
V000215,2024-05-13,Esponja Multiuso,Outros,3,96.43,59.98,289.29,0.0,289.29,109.35
V000194,2024-05-14,Óleo de Milho 900ml,Alimentos Básicos,3,41.23,28.16,123.69,0.0,123.69,39.21
V000216,2024-05-14,Feijão Carioca 1kg,Alimentos Básicos,3,95.43,61.8,286.29,14.31,271.98,86.58
V000723,2024-05-15,Leite Integral 1L,Laticínios,2,15.13,11.84,30.26,1.51,28.75,5.07
V000037,2024-05-15,Desinfetante 1L,Limpeza,5,58.3,44.13,291.5,14.58,276.92,56.27
V000195,2024-05-15,Esponja Multiuso,Outros,3,65.11,50.96,195.33,0.0,195.33,42.45
V000301,2024-05-16,Café Torrado 500g,Bebidas,3,66.88,51.01,200.64,0.0,200.64,47.61
V000541,2024-05-16,Fralda Infantil M,Outros,6,19.71,13.92,118.26,0.0,118.26,34.74
V000663,2024-05-18,Amaciante 2L,Limpeza,5,6.39,4.08,31.95,0.0,31.95,11.55
V000474,2024-05-18,Queijo Prato (kg),Laticínios,1,114.01,75.98,114.01,11.4,102.61,26.63
V000096,2024-05-21,Extrato de Tomate 140g,Outros,2,47.82,30.15,95.64,0.0,95.64,35.34
V000020,2024-05-21,Sabão em Pó 1kg,Limpeza,4,13.64,8.31,54.56,0.0,54.56,21.32
V000357,2024-05-23,Linguiça Toscana (kg),Carnes,5,40.27,27.33,201.35,20.14,181.21,44.56
V000041,2024-05-23,Refrigerante Guaraná 2L,Bebidas,2,35.59,23.13,71.18,0.0,71.18,24.92
V000344,2024-05-24,Margarina 500g,Laticínios,1,36.95,25.01,36.95,3.7,33.25,8.24
V000493,2024-05-25,Peito de Frango (kg),Carnes,3,43.14,32.65,129.42,12.94,116.48,18.53
V000525,2024-05-25,Desinfetante 1L,Limpeza,6,34.44,23.52,206.64,10.33,196.31,55.19
V000184,2024-05-26,Pão Francês (kg),Padaria,4,77.63,53.71,310.52,31.05,279.47,64.63
V000086,2024-05-30,Açúcar Refinado 1kg,Alimentos Básicos,1,31.65,22.0,31.65,0.0,31.65,9.65
V000647,2024-05-30,Farinha de Milho 1kg,Alimentos Básicos,4,23.23,18.51,92.92,0.0,92.92,18.88
V000065,2024-05-31,Refrigerante Laranja 2L,Bebidas,2,7.89,5.31,15.78,0.0,15.78,5.16
V000147,2024-06-01,Iogurte Natural 170g,Laticínios,2,11.35,7.19,22.7,1.14,21.56,7.18
V000679,2024-06-02,Sabão Líquido 1L,Limpeza,2,108.26,82.4,216.52,21.65,194.87,30.07
V000401,2024-06-02,Sal Refinado 1kg,Alimentos Básicos,3,102.97,70.88,308.91,30.89,278.02,65.38
V000270,2024-06-02,Salsicha Hot Dog,Alimentos Básicos,1,71.18,44.72,71.18,3.56,67.62,22.9
V000543,2024-06-04,Margarina Light 500g,Laticínios,5,83.33,64.33,416.65,0.0,416.65,95.0
V000228,2024-06-05,Carvão Vegetal 5kg,Outros,4,10.85,8.31,43.4,0.0,43.4,10.16
V000021,2024-06-05,Escova Dental,Higiene,2,95.67,65.48,191.34,0.0,191.34,60.38
V000465,2024-06-06,Picanha (kg),Carnes,3,45.2,27.95,135.6,6.78,128.82,44.97
V000785,2024-06-06,Açúcar Refinado 1kg,Alimentos Básicos,4,86.87,52.78,347.48,0.0,347.48,136.36
V000175,2024-06-07,Leite em Pó 400g,Laticínios,4,94.44,61.67,377.76,37.78,339.98,93.3
V000380,2024-06-10,Margarina Light 500g,Laticínios,6,112.4,87.19,674.4,33.72,640.68,117.54
V000241,2024-06-10,Creme Dental 90g,Higiene,1,81.85,53.56,81.85,8.19,73.66,20.1
V000695,2024-06-11,Vinho Tinto Seco,Bebidas,1,18.14,12.46,18.14,0.91,17.23,4.77
V000606,2024-06-12,Margarina 500g,Laticínios,2,79.85,52.17,159.7,15.97,143.73,39.39
V000012,2024-06-15,Patinho (kg),Carnes,3,27.51,17.97,82.53,8.25,74.28,20.37
V000014,2024-06-16,"Água com Gás 1,5L",Bebidas,4,34.58,27.15,138.32,13.83,124.49,15.89
V000112,2024-06-16,Presunto Cozido (kg),Outros,1,70.71,55.56,70.71,7.07,63.64,8.08
V000782,2024-06-20,Esponja de Aço,Outros,5,3.86,2.37,19.3,1.93,17.37,5.52
V000521,2024-06-21,Linguiça Toscana (kg),Carnes,6,37.24,26.61,223.44,22.34,201.1,41.44
V000084,2024-06-22,Ração para Cães 10kg,Pets,1,36.2,26.53,36.2,3.62,32.58,6.05
V000439,2024-06-22,Macarrão Penne 500g,Outros,6,66.95,42.63,401.7,40.17,361.53,105.75
V000630,2024-06-23,Alcatra (kg),Carnes,2,88.64,62.88,177.28,0.0,177.28,51.52
V000251,2024-06-24,Creme Dental 90g,Higiene,4,100.35,78.67,401.4,0.0,401.4,86.72
V000256,2024-06-26,Shampoo 400ml,Higiene,2,91.95,67.22,183.9,0.0,183.9,49.46
V000769,2024-06-26,Sabão em Pó 1kg,Limpeza,1,47.13,32.32,47.13,4.71,42.42,10.1
V000608,2024-06-26,Sal Grosso 1kg,Alimentos Básicos,2,72.32,55.05,144.64,14.46,130.18,20.08
V000081,2024-06-27,Condicionador 400ml,Higiene,5,38.21,27.11,191.05,0.0,191.05,55.5
V000247,2024-06-28,Macarrão Espaguete 500g,Outros,4,65.31,42.19,261.24,26.12,235.12,66.36
V000421,2024-06-28,Escova Dental,Higiene,6,52.98,37.04,317.88,15.89,301.99,79.75
V000383,2024-06-28,Refrigerante Cola 2L,Bebidas,2,112.27,68.18,224.54,11.23,213.31,76.95
V000667,2024-06-30,Cerveja Lata 350ml,Bebidas,5,67.51,45.15,337.55,16.88,320.67,94.92
V000749,2024-06-30,Gelo 5kg,Outros,5,23.32,17.79,116.6,0.0,116.6,27.65
